annee;UAI;libelle;region;dont_apprentis_eple;taux_poursuite_etudes;taux_emploi_6_mois;taux_emploi_6_mois_attendu;va_emploi_6_mois;taux_emploi_12_mois;taux_emploi_18_mois;taux_emploi_24_mois;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
cumul 2018-2019;0600049C;Lycée professionnel Amyot d'Inville - Lycée des métiers du BTP, de la vente et de la communication graphique;HAUTS-DE-FRANCE;ensemble;52.0;36.0;37.0;-1.0;42.0;49.0;52.0;;;
cumul 2018-2019;0600049C;Lycée professionnel Amyot d'Inville - Lycée des métiers du BTP, de la vente et de la communication graphique;HAUTS-DE-FRANCE;dont apprentis;;;;;;;;;;
cumul 2018-2019;0600062S;Lycée professionnel Marie Curie - Lycée des métiers de l'ingénierie des industries mécaniques, chimiques et biotechnologiques;HAUTS-DE-FRANCE;ensemble;52.0;54.0;48.0;6.0;50.0;48.0;57.0;;;
cumul 2018-2019;0600062S;Lycée professionnel Marie Curie - Lycée des métiers de l'ingénierie des industries mécaniques, chimiques et biotechnologiques;HAUTS-DE-FRANCE;dont élèves en voie pro sco;61.0;38.0;35.0;3.0;35.0;34.0;46.0;;;
cumul 2018-2019;0601363F;Lycée professionnel Robert Desnos;HAUTS-DE-FRANCE;dont élèves en voie pro sco;60.0;29.0;33.0;-4.0;42.0;40.0;44.0;;;
cumul 2018-2019;0601363F;Lycée professionnel Robert Desnos;HAUTS-DE-FRANCE;dont apprentis;;;;;;;;;;
cumul 2018-2019;0601470X;Lycée professionnel Lavoisier - Lycée des métiers des services du numérique à la personne - de l'entreprise à l'innovation;HAUTS-DE-FRANCE;ensemble;41.0;41.0;36.0;6.0;41.0;44.0;47.0;;;
cumul 2018-2019;0601822E;Lycée professionnel Arthur Rimbaud - Lycée des métiers de l'électronique, de la menuiserie et de la vente;HAUTS-DE-FRANCE;ensemble;51.0;24.0;32.0;-8.0;27.0;33.0;42.0;;;
cumul 2018-2019;0601824G;Lycée général et technologique Jeanne Hachette;HAUTS-DE-FRANCE;ensemble;44.0;46.0;47.0;-2.0;46.0;50.0;62.0;;;
cumul 2018-2019;0601832R;Lycée général et technologique Jean Monnet;HAUTS-DE-FRANCE;ensemble;33.0;58.0;59.0;-1.0;63.0;68.0;74.0;;;
cumul 2018-2019;0601864A;Lycée d'enseignement général et technologique André Malraux;HAUTS-DE-FRANCE;ensemble;26.0;57.0;58.0;-2.0;61.0;57.0;48.0;;;
cumul 2018-2019;0601946P;Lycée professionnel privé Jean-paul II;HAUTS-DE-FRANCE;ensemble;52.0;34.0;27.0;7.0;41.0;37.0;43.0;;;
cumul 2018-2019;0610006A;Lycée polyvalent Mezeray-Gabriel;NORMANDIE;ensemble;50.0;37.0;44.0;-7.0;49.0;46.0;57.0;;;
cumul 2018-2019;0610006A;Lycée polyvalent Mezeray-Gabriel;NORMANDIE;dont élèves en voie pro sco;52.0;32.0;41.0;-8.0;44.0;42.0;54.0;;;
cumul 2018-2019;0610021S;Lycée polyvalent Jean Guehenno - lycée des métiers des services, de l'industrie et du tertiaire;NORMANDIE;dont apprentis;40.0;;;;;;;;;
cumul 2018-2019;0610026X;Lycée polyvalent Napoleon;NORMANDIE;dont apprentis;;;;;;;;;;
cumul 2018-2019;0620040G;Lycée général et technologique Louis Blaringhem;HAUTS-DE-FRANCE;dont apprentis;17.0;66.0;56.0;9.0;57.0;66.0;68.0;;;
cumul 2018-2019;0620043K;Lycée professionnel Salvador Allende - Lycée des Métiers de l'Automobile - Lycée des Métiers de la Maintenance Industrielle;HAUTS-DE-FRANCE;ensemble;44.0;41.0;42.0;-1.0;48.0;53.0;58.0;;;
cumul 2018-2019;0620052V;Lycée polyvalent Edouard Branly - Lycée des Métiers du Bâtiment et des Energies renouvelables, de l'Industrie des terres d'Opale;HAUTS-DE-FRANCE;ensemble;49.0;52.0;50.0;2.0;59.0;59.0;68.0;;;
cumul 2018-2019;0620059C;Lycée professionnel Léo Lagrange - Lycée des Métiers de la personne, santé, social;HAUTS-DE-FRANCE;dont élèves en voie pro sco;44.0;23.0;24.0;-1.0;25.0;32.0;38.0;;;
cumul 2018-2019;0620059C;Lycée professionnel Léo Lagrange - Lycée des Métiers de la personne, santé, social;HAUTS-DE-FRANCE;dont apprentis;8.0;39.0;37.0;2.0;43.0;43.0;43.0;;;
cumul 2018-2019;0620070P;Lycée général et Technologique Diderot;HAUTS-DE-FRANCE;ensemble;30.0;60.0;54.0;6.0;57.0;73.0;63.0;;;
cumul 2018-2019;0620093P;Lycée général et technologique Fernand Darchicourt - Lycée des Métiers du Transport et de la Logistique - Lycée des Métiers du Commerce;HAUTS-DE-FRANCE;ensemble;21.0;57.0;56.0;1.0;64.0;63.0;68.0;;;
cumul 2018-2019;0620095S;Lycée Polyvalent Louis Pasteur;HAUTS-DE-FRANCE;dont élèves en voie pro sco;57.0;37.0;41.0;-4.0;46.0;51.0;54.0;;;
cumul 2018-2019;0620108F;Lycée général et technologique Condorcet;HAUTS-DE-FRANCE;ensemble;24.0;46.0;52.0;-6.0;58.0;61.0;54.0;;;
cumul 2018-2019;0620113L;Lycée général et technologique Henri Darras - Lycée des Métiers de la Chaudronnerie Industrielle;HAUTS-DE-FRANCE;ensemble;33.0;58.0;55.0;3.0;63.0;61.0;65.0;;;
cumul 2018-2019;0620124Y;Lycée professionnel Bernard Chochoy;HAUTS-DE-FRANCE;dont élèves en voie pro sco;44.0;32.0;28.0;4.0;42.0;43.0;47.0;;;
cumul 2018-2019;0620124Y;Lycée professionnel Bernard Chochoy;HAUTS-DE-FRANCE;dont apprentis;26.0;64.0;62.0;2.0;80.0;76.0;76.0;;;
